2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:0
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:1
---------------------------- PROCESS STARTED (22361) for package com.rmst.biometrics ----------------------------
2025-12-10 17:12:33.564 22361-22361 DebugTheme...emeUpdated com.rmst.biometrics                  D  reload start !TranResourcesUtils.isRunningOnSystemServer()=true currentForegroundUser=0
2025-12-10 17:12:33.574 22361-22361 ApplicationLoaders      com.rmst.biometrics                  D  Returning zygote-cached class loader: /system_ext/framework/androidx.window.extensions.jar
2025-12-10 17:12:33.574 22361-22361 ApplicationLoaders      com.rmst.biometrics                  D  Returning zygote-cached class loader: /system_ext/framework/androidx.window.sidecar.jar
2025-12-10 17:12:33.578 22361-22361 ziparchive              com.rmst.biometrics                  W  Unable to open '/data/data/com.rmst.biometrics/code_cache/.overlay/base.apk/classes6.dm': No such file or directory
2025-12-10 17:12:33.579 22361-22361 ziparchive              com.rmst.biometrics                  W  Unable to open '/data/data/com.rmst.biometrics/code_cache/.overlay/base.apk/classes3.dm': No such file or directory
2025-12-10 17:12:33.581 22361-22361 rmst.biometrics         com.rmst.biometrics                  W  ClassLoaderContext classpath size mismatch. expected=0, found=2 (PCL[]{PCL[/system_ext/framework/androidx.window.extensions.jar*982563657]#PCL[/system_ext/framework/androidx.window.sidecar.jar*391518838]} | PCL[/data/data/com.rmst.biometrics/code_cache/.overlay/base.apk/classes6.dex*2351851380:/data/data/com.rmst.biometrics/code_cache/.overlay/base.apk/classes3.dex*2928926496]{PCL[/system_ext/framework/androidx.window.extensions.jar*982563657]#PCL[/system_ext/framework/androidx.window.sidecar.jar*391518838]})
2025-12-10 17:12:33.584 22361-22361 nativeloader            com.rmst.biometrics                  D  Configuring clns-7 for other apk /data/app/~~e-s_eUUU0ObzHlcAnb0DXw==/com.rmst.biometrics-tpkas6IPNKh-DpndU6De7Q==/base.apk. target_sdk_version=33, uses_libraries=, library_path=/data/app/~~e-s_eUUU0ObzHlcAnb0DXw==/com.rmst.biometrics-tpkas6IPNKh-DpndU6De7Q==/lib/arm64:/data/app/~~e-s_eUUU0ObzHlcAnb0DXw==/com.rmst.biometrics-tpkas6IPNKh-DpndU6De7Q==/base.apk!/lib/arm64-v8a, permitted_path=/data:/mnt/expand:/data/user/0/com.rmst.biometrics
2025-12-10 17:12:33.601 22361-22361 GraphicsEnvironment     com.rmst.biometrics                  V  Currently set values for:
2025-12-10 17:12:33.601 22361-22361 GraphicsEnvironment     com.rmst.biometrics                  V    angle_gl_driver_selection_pkgs=[]
2025-12-10 17:12:33.601 22361-22361 GraphicsEnvironment     com.rmst.biometrics                  V    angle_gl_driver_selection_values=[]
2025-12-10 17:12:33.601 22361-22361 GraphicsEnvironment     com.rmst.biometrics                  V  Global.Settings values are invalid: number of packages: 0, number of values: 0
2025-12-10 17:12:33.602 22361-22361 GraphicsEnvironment     com.rmst.biometrics                  V  Neither updatable production driver nor prerelease driver is supported.
2025-12-10 17:12:33.608 22361-22361 LoadedApk               com.rmst.biometrics                  I  No resource references to update in package com.transsion.theme.icon
2025-12-10 17:12:33.616 22361-22361 CompatChangeReporter    com.rmst.biometrics                  D  Compat change id reported: 183155436; UID 10271; state: ENABLED
